site,date,start_hour,value,variable,units,quality,prelim,name 
3774,2015-01-02,22,0.1324,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,23,0.1184,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-02,0,0.0762,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,1,0.0725,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,2,0.0691,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,5,0.0659,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,6,0.1063,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,7,0.1381,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,8,0.1017,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,9,0.0740,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,10,0.0477,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,11,0.0340,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,12,0.0288,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,13,0.0242,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,14,0.0275,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,15,0.0299,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,16,0.0189,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,17,0.0155,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,18,0.0316,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,19,0.0625,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,20,0.0864,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,21,0.0814,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,22,0.0964,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-03,0,0.0112,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,1,0.0101,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,2,0.0081,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,3,0.0071,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,5,0.0058,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,6,0.0075,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,7,0.0082,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,8,0.0127,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,9,0.0370,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,10,0.0294,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,11,0.0203,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,12,0.0145,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,13,0.0143,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,14,0.0145,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,15,0.0147,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,16,0.0177,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,17,0.0174,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,18,0.0145,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,19,0.0151,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,20,0.0134,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,21,0.0120,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,22,0.0112,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,23,0.0143,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-03,0,0.1063,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,1,0.1101,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,2,0.1338,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,3,0.1326,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,5,0.1098,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,6,0.1107,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,7,0.1291,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,8,0.1324,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,9,0.0704,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,10,0.0371,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,11,0.0180,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,12,0.0223,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,13,0.0236,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,14,0.0262,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,15,0.0176,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,16,0.0166,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,17,0.0240,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,18,0.0242,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,19,0.0234,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,20,0.0375,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,21,0.0773,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,22,0.0995,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,23,0.1071,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-03,0,0.0926,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,1,0.0927,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,2,0.0837,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,5,0.0732,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,6,0.1055,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,7,0.0958,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
