site,date,start_hour,value,variable,units,quality,prelim,name 
2899,2015-01-02,17,0.0410,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,18,0.0239,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,19,0.0086,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,20,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,21,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,22,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-03,0,0.0208,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,1,0.0195,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,2,0.0191,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,3,0.0215,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,5,0.0235,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,6,0.0206,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,7,0.0220,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,8,0.0203,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,9,0.0124,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,10,0.0221,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,11,0.0328,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,12,0.0400,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,13,0.0415,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,14,0.0425,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,15,0.0421,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,16,0.0365,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,17,0.0282,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,18,0.0293,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,19,0.0264,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,20,0.0254,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,21,0.0245,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,22,0.0240,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,23,0.0180,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-03,0,0.0000,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,2,0.0001,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,3,0.0000,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,8,0.0007,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,9,0.0068,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,10,0.0185,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,11,0.0307,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,12,0.0299,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,13,0.0310,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,14,0.0264,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,15,0.0325,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,16,0.0344,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,17,0.0242,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,18,0.0227,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,19,0.0188,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,20,0.0058,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,23,0.0000,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-03,0,0.0062,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,1,0.0061,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,2,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,5,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,6,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,7,0.0066,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,8,0.0093,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,9,0.0150,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,10,0.0276,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,11,0.0395,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,12,0.0421,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,13,0.0405,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,14,0.0431,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
