site,date,start_hour,value,variable,units,quality,prelim,name 
2849,2015-01-03,1,0.3162,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,2,0.2815,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-03,3,0.2616,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-03,0,1.1911,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,1,0.9983,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,2,1.1535,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,3,1.0841,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,5,0.9624,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,6,0.8968,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,7,0.9025,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,8,1.0005,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,9,0.4602,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,10,0.1110,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,11,-0.1430,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,12,-0.1315,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,13,-0.1487,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,14,-0.2198,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,15,-0.2330,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,16,-0.2287,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,17,-0.1903,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,18,-0.1702,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,19,-0.1423,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,20,0.1198,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,21,0.5672,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,22,1.0734,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-03,23,1.0952,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-03,0,1.3973,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,1,1.2558,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,2,1.1603,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,4,0.7525,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,5,0.9237,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,6,1.0773,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,7,1.0350,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,8,0.9293,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,9,0.8170,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,10,0.5777,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,11,0.4747,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,12,0.5003,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,13,0.5723,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,14,0.5615,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,15,0.5118,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,16,0.5440,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,17,0.5545,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,18,0.5808,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,19,0.7790,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,20,1.1128,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,21,1.3167,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,22,1.2863,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-03,23,1.1836,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
3774,2015-01-04,0,1.3144,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,1,1.6393,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,2,1.7655,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,3,1.7028,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,5,0.9508,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,6,0.7537,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,7,0.8776,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,8,0.5783,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,9,0.3075,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,10,0.2087,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,11,0.1248,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,12,0.0410,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,13,0.0157,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,14,-0.0672,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,15,-0.1977,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,16,-0.2203,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,17,-0.2453,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,18,-0.2195,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,19,-0.2390,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,20,-0.1768,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,21,0.1680,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,22,0.3742,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-04,23,0.5742,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-04,0,1.1251,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,1,1.1002,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,2,1.0452,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,4,0.6600,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,5,0.8087,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,6,0.8013,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,7,0.9375,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,8,0.7842,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,9,0.7142,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,10,0.6727,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,11,0.7348,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,12,0.7098,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,13,0.6767,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,14,0.6973,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,15,0.6627,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,16,0.6467,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,17,0.7108,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,18,0.9902,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,19,1.2235,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,20,1.4268,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,21,1.3653,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,22,1.1810,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,23,0.7907,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
3774,2015-01-05,0,0.6629,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,1,0.4285,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,2,0.1052,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,3,0.0454,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,5,0.1508,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,6,0.5267,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,7,1.2033,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,8,0.7368,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,9,0.6562,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,10,0.3947,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,11,0.1757,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,12,0.0052,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,13,-0.1453,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,14,-0.1242,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,15,-0.0422,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,16,-0.1048,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,17,-0.0595,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,18,-0.0092,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,19,0.0953,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,20,0.3350,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,21,0.7123,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,22,0.5117,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-05,23,0.3090,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-05,0,0.9147,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-05,1,0.7032,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
